nom,prenom,occupation,age,taille,poids,options,genre,label
DE NAVARRE,Aimee,Etudiante,26,1.62,59,1,Afrique,0
MALTAIS,Ambre,Travail:temps plein,27,1.67,47,3,Europe (autre que la France),0
BUJOLD,Mathilde,Travail:temps plein,27,1.81,60,2,La France,0
DE HALLUIN,France,Etudiante,23,1.93,68,4,Amerique,0
D AQUITAINE,Juliette,Etudiante,26,1.73,62,2,Asie,0
SANDOZ GENDRE,Lucile,Etudiante,22,1.78,65,3,Europe (autre que la France),1
D eGYPTE,Eulalie,Travail:temps plein,25,1.57,51,1,Afrique,0
DE NORMANDIE,Laetitia,Travail:temps plein,27,1.94,63,1,Afrique,0
DE COURTENAY,Luce,Travail:temps partiel,25,1.53,45,1,Afrique,0
LACHARITe,Victoire,Etudiante,22,1.92,46,2,Europe (autre que la France),0
DE PROVENCE,Melodie,Travail:temps partiel,25,1.91,51,3,Asie,0
DE CASTILLE,Coralie,Travail:temps plein,27,1.6,54,4,Afrique,0
DE COURTENAY,Leonie,Travail:temps plein,26,1.65,66,1,La France,0
DE MONTCLAR,Armelle,Travail:temps plein,27,1.58,47,3,Afrique,0
SNIVELY,Gabrielle,Etudiante,25,1.51,59,3,Amerique,0
DE ROME,Clemence,Etudiante,27,1.6,69,3,Afrique,1
GOBEIL,Margaux,Etudiante,23,1.76,72,3,Europe (autre que la France),0
D ANGOULEME,Amandine,Etudiante,27,1.8,70,3,Asie,1
DE PROVENCE,Elisabeth,Etudiante,27,1.82,70,3,Asie,1
GAUDREAULT,Ambrine,Etudiante,25,1.8,51,1,Amerique,0
DE MONTCLAR,Armelle,Travail:temps plein,24,1.87,49,1,Amerique,0
GAUDREAULT,Marianne,Travail:temps plein,24,1.7,63,2,Afrique,0
DE SAXE,Jacinthe,Travail:temps partiel,26,1.82,55,2,Amerique,0
DE VERMANDOIS,Brune,Travail:temps plein,23,1.52,69,1,Amerique,0
DE NORMANDIE,Blanche,Travail:temps partiel,25,1.64,62,1,Amerique,0
D AUSTRASIE,Marine,Etudiante,23,1.97,61,3,La France,0
DE NAVARRE,Artemis,Travail:temps plein,24,1.87,62,3,Afrique,0
DE ROME,Anna,Travail:temps plein,23,1.68,63,2,Europe (autre que la France),0
DE LUXEMBOURG,Auxane,Travail:temps partiel,27,1.85,48,1,Europe (autre que la France),0
DE SAVOIE,Celine,Travail:temps plein,27,1.88,54,2,Asie,0
BUJOLD,Morgane,Travail:temps plein,23,1.56,67,1,Afrique,0
DE LUXEMBOURG,Blanche,Travail:temps plein,24,1.79,59,3,Amerique,0
DE TOXANDRIE,Penelope,Travail:temps partiel,24,1.62,73,1,Asie,0
SNIVELY,Albane,Travail:temps partiel,25,1.59,46,1,Europe (autre que la France),0
DE BURGONDIE,Heloise,Travail:temps partiel,26,1.68,54,3,La France,1
DE NAVARRE,Lydia,Travail:temps plein,24,1.96,68,2,La France,0
D AQUITAINE,Adeline,Etudiante,23,1.64,45,4,Europe (autre que la France),1
DE BAVIERE,Line,Etudiante,27,1.64,70,1,Amerique,0
BUJOLD,Melodie,Etudiante,23,1.98,56,2,Europe (autre que la France),0
DE CASTILLE,Noelie,Travail:temps partiel,23,1.8,56,3,La France,1
GOBEIL,Eliane,Etudiante,27,1.55,61,4,Afrique,0
BOULIANNE,Aubane,Etudiante,22,1.91,54,1,Amerique,0
SNIVELY,Auxane,Travail:temps plein,23,1.77,45,2,Asie,0
DE MONTCLAR,Prune,Travail:temps plein,22,1.54,59,3,Europe (autre que la France),0
DE SAVOIE,Zelie,Travail:temps plein,26,1.5,70,2,La France,0
DE NORMANDIE,Camille,Etudiante,26,1.62,55,2,Amerique,0
CAROLINGIEN,Aude,Travail:temps partiel,27,1.89,50,2,Afrique,0
SNIVELY,Ambre,Etudiante,25,1.69,55,3,Europe (autre que la France),1
DE BURGONDIE,Marceline,Etudiante,23,1.7,47,1,Europe (autre que la France),0
SCHNEBLI,Julia,Travail:temps partiel,27,1.5,48,2,La France,0
WUETRICH,Suzon,Travail:temps partiel,27,1.73,66,3,Afrique,1
D AUSTRASIE,Juliette,Etudiante,22,1.87,54,1,Asie,0
D ANGLETERRE,Lucie,Etudiante,25,1.97,57,1,La France,0
CAROLINGIEN,Luce,Travail:temps plein,26,1.51,60,1,Asie,0
DE NORMANDIE,Charlotte,Travail:temps partiel,24,1.66,57,1,Amerique,0
WUETRICH,Gabrielle,Etudiante,27,1.63,48,3,Europe (autre que la France),1
DE DANEMARK,Aure,Etudiante,26,1.83,46,1,Asie,0
DE LIMOGES,Albane,Travail:temps plein,23,1.67,52,3,Asie,0
DE HAINAUT,Apolline,Travail:temps plein,23,1.74,69,4,Afrique,0
DE HALLUIN,Eleonore,Travail:temps partiel,27,1.88,69,3,Asie,1
WUETRICH,Gwenaelle,Travail:temps plein,23,1.57,63,4,Asie,0
D ALeMANIE,Cyrielle,Etudiante,27,1.58,47,1,Amerique,0
DE HALLUIN,Juliette,Travail:temps plein,22,1.79,69,1,La France,0
CAROLINGIEN,Clarisse,Etudiante,22,1.69,47,4,Afrique,1
D AUTRICHE,Eugenie,Etudiante,25,1.72,54,1,La France,0
DE TOXANDRIE,Camille,Travail:temps plein,27,1.88,56,4,Europe (autre que la France),0
D AUTRICHE,Grace,Travail:temps partiel,27,1.94,65,1,Afrique,0
DE LIMOGES,Ambre,Travail:temps plein,23,1.68,60,3,La France,0
DE CHAMPAGNE,Rosalie,Etudiante,26,1.85,50,2,La France,0
SANDOZ GENDRE,Gwenaelle,Travail:temps partiel,23,1.81,50,3,La France,1
DE MONTMORENCY,Marilou,Travail:temps plein,22,1.56,69,2,Asie,0
SANDOZ GENDRE,Anais,Etudiante,27,1.6,74,2,Asie,0
D AUSTRASIE,Theodora,Travail:temps partiel,27,1.63,46,4,Amerique,1
D AQUITAINE,Julia,Etudiante,26,1.73,58,3,Europe (autre que la France),1
DE HALLEWIN,Evangeline,Travail:temps partiel,22,1.82,61,3,La France,1
DE MONTMORENCY,Eulalie,Etudiante,27,1.59,54,2,La France,0
SNAVELY,Angelique,Travail:temps plein,24,1.75,53,1,Afrique,0
DE FRANCIE,Anais,Etudiante,26,1.83,52,2,Afrique,0
DE TOXANDRIE,Capucine,Travail:temps partiel,25,1.57,69,4,Afrique,0
D AUTRICHE,Jeanne,Travail:temps plein,25,1.76,51,2,La France,0
DE GASCOGNE,Maria,Travail:temps plein,23,1.68,47,2,Afrique,0
LACHARITe,Aimee,Etudiante,26,1.97,61,2,La France,0
D eGYPTE,Amandine,Travail:temps partiel,24,1.9,72,1,Europe (autre que la France),0
DE NORMANDIE,Rose,Travail:temps plein,26,1.6,52,2,La France,0
CAROLINGIEN,InEs,Etudiante,24,1.9,63,2,Europe (autre que la France),0
GAUDREAULT,Ambre,Etudiante,23,1.86,47,1,Amerique,0
MALTAIS,Jacinthe,Travail:temps plein,25,1.97,54,1,Afrique,0
DE HALLUIN,Rosalie,Etudiante,22,1.91,53,3,La France,0
DE MONTCLAR,Colette,Travail:temps plein,27,1.72,70,3,Amerique,0
GAUDREAULT,Armelle,Travail:temps partiel,24,1.79,51,2,Afrique,0
GAUDREAULT,Sarah,Travail:temps partiel,24,1.84,52,4,Asie,1
SANDOZ GENDRE,Albane,Travail:temps partiel,27,1.64,59,3,Amerique,1
DE FRANCIE,Aure,Travail:temps partiel,22,1.53,58,1,Asie,0
D AQUITAINE,Lina,Travail:temps partiel,22,1.69,50,1,Amerique,0
D AQUITAINE,Evangeline,Travail:temps partiel,26,1.71,69,3,La France,1
DE SAVOIE,Clarisse,Travail:temps plein,26,1.79,58,3,Afrique,0
DE HALLEWIN,Jade,Etudiante,25,1.86,54,1,Asie,0
DE VERMANDOIS,Celine,Travail:temps plein,26,1.5,60,4,Afrique,0
DE WISIGOTHIE,France,Travail:temps plein,24,1.88,49,4,Asie,0
D AQUITAINE,Apolline,Travail:temps plein,27,1.97,58,1,Asie,0
DE COLOGNE,Laureline,Etudiante,24,1.94,49,4,La France,0
DE BAVIERE,Aure,Travail:temps plein,27,1.55,51,2,Asie,0
MALTAIS,Artemis,Travail:temps partiel,23,1.69,70,3,Asie,1
DE TOXANDRIE,Celine,Travail:temps plein,23,1.98,51,4,Afrique,0
MALTAIS,Amelie,Travail:temps partiel,26,1.52,64,3,Asie,0
DE TOULOUSE,Eleonore,Travail:temps partiel,24,1.58,71,2,Afrique,0
DE HALLUIN,Berenice,Travail:temps partiel,22,1.52,70,2,Afrique,0
DE NORMANDIE,Grace,Travail:temps partiel,23,1.83,51,4,La France,1
D eGYPTE,Eleonore,Travail:temps partiel,22,1.54,64,1,Asie,0
DE MONTMORENCY,Jacinthe,Travail:temps plein,22,1.66,51,1,Amerique,0
DE FRANCIE,Rosalie,Travail:temps plein,25,1.57,62,2,Amerique,0
DE MONTMORENCY,Coralie,Travail:temps partiel,25,1.51,65,1,Asie,0
DE ROME,Florine,Travail:temps plein,27,1.59,55,2,Amerique,0
DE COURTENAY,Sarah,Etudiante,22,1.72,56,2,La France,0
DE BAVIERE,Fleur,Etudiante,26,1.87,64,2,Asie,0
DE THURINGE,Eliane,Travail:temps partiel,26,1.83,52,3,La France,1
DE NAVARRE,Marilou,Travail:temps plein,23,1.89,55,3,Europe (autre que la France),0
DE ROME,Alix,Travail:temps plein,22,1.51,75,3,Amerique,0
DE TOULOUSE,SolEne,Etudiante,26,1.52,71,3,La France,0
DE COURTENAY,Emma,Travail:temps partiel,24,1.57,70,4,Amerique,0
SCHNEBLI,Stephanie,Travail:temps plein,24,1.73,61,1,Amerique,0
DE SAXE,Coralie,Etudiante,25,1.6,52,1,Amerique,0
DE HAINAUT,Eugenie,Travail:temps partiel,22,1.56,59,4,Afrique,0
DE CHAMPAGNE,Rosalie,Travail:temps plein,22,1.62,48,3,Amerique,0
D ANGOULEME,Tiphaine,Etudiante,22,1.52,63,1,Afrique,0
DE ROHAN,Laureline,Travail:temps partiel,26,1.59,70,1,Asie,0
DE GASCOGNE,Jade,Travail:temps partiel,23,1.72,45,3,Amerique,1
DE PROVENCE,Luce,Travail:temps plein,23,1.58,61,1,Amerique,0
WUETRICH,Anais,Etudiante,25,1.9,68,3,Europe (autre que la France),0
DE ROHAN,Lina,Travail:temps partiel,27,1.87,60,1,Afrique,0
DE VERMANDOIS,Coralie,Travail:temps partiel,22,1.74,58,4,Amerique,1
DE SAVOIE,Florine,Etudiante,27,1.5,56,4,La France,0
DE LUXEMBOURG,Victoria,Travail:temps plein,22,1.78,65,4,Europe (autre que la France),0
DE LOMBARDIE,Eglantine,Travail:temps plein,26,1.97,57,2,Afrique,0
DE ROHAN,Victoire,Travail:temps partiel,24,1.98,75,2,La France,0
DE LIMOGES,Coralie,Travail:temps partiel,22,1.82,49,3,Asie,1
BOULIANNE,Morgane,Etudiante,24,1.91,74,3,Asie,0
LACHARITe,Grace,Etudiante,22,1.6,65,1,Asie,0
LACHARITe,Victoire,Etudiante,24,1.99,65,1,Amerique,0
D ANGOULEME,SolEne,Etudiante,25,1.88,47,1,Afrique,0
DE ROME,Auriane,Travail:temps plein,23,1.57,58,3,Asie,0
SNIVELY,HelEne,Travail:temps plein,24,1.87,61,4,Amerique,0
DE NAVARRE,Tatiana,Travail:temps plein,25,1.58,63,1,Europe (autre que la France),0
SNIVELY,Fantine,Etudiante,25,1.8,60,1,Europe (autre que la France),0
DE MONTCLAR,Thais,Travail:temps partiel,22,1.96,54,1,Asie,0
DE CASTILLE,Aimee,Travail:temps plein,22,1.55,74,2,Amerique,0
SANDOZ GENDRE,Violette,Travail:temps plein,22,1.97,75,1,Afrique,0
DE WISIGOTHIE,Lucile,Etudiante,26,1.97,71,4,Asie,0
DE NORMANDIE,SolEne,Travail:temps plein,27,1.73,55,1,Amerique,0
DE HALLUIN,Zelie,Travail:temps partiel,22,1.81,66,2,Afrique,0
DE FRANCIE,Marion,Etudiante,25,1.63,57,2,Europe (autre que la France),0
DE VERMANDOIS,Blanche,Travail:temps partiel,25,1.93,54,2,Europe (autre que la France),0
SNAVELY,Apolline,Etudiante,25,1.85,60,3,Asie,1
BUJOLD,Athenais,Etudiante,26,1.88,52,1,La France,0
DE SAXE,Eglantine,Travail:temps plein,27,1.55,55,4,Amerique,0
DE LUXEMBOURG,Stephanie,Travail:temps plein,23,1.72,58,3,Amerique,0
DE NAVARRE,Melodie,Etudiante,22,1.79,61,1,Afrique,0
DE PROVENCE,Zelie,Travail:temps partiel,25,1.7,68,1,Asie,0
DE FRANCIE,Tiphaine,Etudiante,22,1.92,56,2,Afrique,0
D ANGLETERRE,Violette,Travail:temps plein,22,1.71,47,3,Afrique,0
SNIVELY,Alix,Travail:temps plein,24,1.69,72,1,Afrique,0
DE NORMANDIE,Bertille,Etudiante,23,1.83,55,4,Afrique,1
DE VERMANDOIS,Aude,Travail:temps plein,23,1.9,51,2,Asie,0
SNIVELY,Morgane,Etudiante,27,1.75,70,4,Europe (autre que la France),1
DE DANEMARK,Flavie,Travail:temps plein,22,1.87,47,1,Europe (autre que la France),0
DE THURINGE,Claire,Travail:temps partiel,26,1.86,75,3,La France,0
D eGYPTE,Zelie,Travail:temps plein,27,1.59,53,2,Asie,0
DE NAVARRE,Lou,Travail:temps partiel,27,1.98,62,4,Afrique,0
DE PROVENCE,Morgane,Travail:temps partiel,25,1.56,63,4,Afrique,0
D AQUITAINE,Athenais,Travail:temps plein,23,1.98,54,3,Afrique,0
D eGYPTE,Celine,Travail:temps partiel,27,1.75,63,1,Afrique,0
DE TOULOUSE,Lena,Etudiante,25,1.57,55,4,La France,0
SNAVELY,Eleonore,Etudiante,22,1.81,46,3,Afrique,1
DE BURGONDIE,Adelie,Travail:temps plein,27,1.97,46,3,Asie,0
SNIVELY,Seraphine,Etudiante,23,1.99,63,1,La France,0
D AUTRICHE,Ludivine,Travail:temps plein,26,1.91,50,3,Amerique,0
DE CASTILLE,Emmanuelle,Travail:temps plein,27,1.66,56,2,La France,0
D AQUITAINE,Marine,Etudiante,24,1.7,71,1,Europe (autre que la France),0
DE WISIGOTHIE,Ysaline,Etudiante,23,1.53,50,2,Afrique,0
WUETRICH,Morgane,Etudiante,23,1.99,63,1,Afrique,0
DE WISIGOTHIE,Anna,Etudiante,25,1.5,70,2,Europe (autre que la France),0
DE CASTILLE,Sibylle,Etudiante,24,1.94,60,2,Afrique,0
LACHARITe,Daphne,Travail:temps partiel,26,1.67,64,4,Europe (autre que la France),1
DE NORMANDIE,Penelope,Travail:temps partiel,26,1.9,61,4,Asie,0
DE SAVOIE,Marion,Travail:temps partiel,27,1.54,52,2,Asie,0
DE HAINAUT,Alexine,Travail:temps plein,26,1.64,53,2,Amerique,0
DE WISIGOTHIE,Auriane,Travail:temps plein,24,1.78,47,4,Europe (autre que la France),0
DE PROVENCE,Marianne,Travail:temps partiel,26,1.65,71,1,Europe (autre que la France),0
DE TOXANDRIE,LaurEne,Etudiante,27,1.63,48,1,Asie,0
SANDOZ GENDRE,Chloe,Travail:temps partiel,23,1.72,52,1,Asie,0
D ANGLETERRE,Armance,Travail:temps plein,27,1.6,59,2,Amerique,0
DE ROHAN,Lina,Travail:temps plein,24,1.98,74,3,Europe (autre que la France),0
DE PROVENCE,HelEne,Travail:temps plein,25,1.77,60,4,Afrique,0
DE COLOGNE,Eliane,Etudiante,23,1.88,75,4,Asie,0
SCHNEBLI,Marine,Travail:temps partiel,26,1.61,71,2,La France,0
DE DANEMARK,Seraphine,Travail:temps partiel,23,1.62,66,3,Asie,1
GOBEIL,Adeline,Travail:temps plein,24,1.7,65,4,Asie,0
SANDOZ GENDRE,Catherine,Travail:temps partiel,24,1.76,49,2,Amerique,0
DE ROME,Rose,Travail:temps partiel,26,1.98,61,4,Europe (autre que la France),0
D AUSTRASIE,Rose,Travail:temps plein,23,1.6,62,1,Amerique,0
DE ROME,Eleonore,Etudiante,26,1.94,58,2,Amerique,0
D AUTRICHE,Hermione,Etudiante,27,1.97,51,3,Asie,0
DE FRANCIE,Adelaide,Travail:temps plein,26,1.57,51,1,Asie,0
DE PROVENCE,Morgane,Travail:temps plein,25,1.51,70,3,Asie,0
DE HAINAUT,Estelle,Travail:temps plein,24,1.91,60,4,Europe (autre que la France),0
DE WISIGOTHIE,Philippine,Etudiante,27,1.89,46,1,Europe (autre que la France),0
DE SAXE,Prune,Travail:temps plein,24,1.87,59,2,Amerique,0
DE HAINAUT,Emmanuelle,Etudiante,26,1.87,74,1,Amerique,0
DE LOMBARDIE,Alix,Etudiante,22,1.75,47,1,Asie,0
GOBEIL,Nathalie,Etudiante,22,1.96,74,2,Afrique,0
DE COLOGNE,Leonie,Etudiante,23,1.63,55,3,La France,1
DE SAXE,Sibylle,Travail:temps partiel,25,1.66,66,2,Afrique,0
DE MONTMORENCY,Fleur,Etudiante,25,1.59,57,4,Asie,0
BUJOLD,Anais,Travail:temps plein,26,1.93,75,3,Europe (autre que la France),0
DE CASTILLE,Victoria,Travail:temps partiel,24,1.53,57,1,Europe (autre que la France),0
WUETRICH,Albane,Travail:temps partiel,27,1.84,67,3,Asie,1
DE MONTCLAR,Nathalie,Etudiante,24,1.59,58,2,La France,0
D AUSTRASIE,LaurEne,Travail:temps partiel,26,1.91,53,1,Afrique,0
DE CHAMPAGNE,Hermine,Etudiante,24,1.67,55,4,Amerique,1
D AUSTRASIE,Capucine,Travail:temps partiel,25,1.83,46,1,Asie,0
DE SAVOIE,Marine,Travail:temps partiel,26,1.54,67,2,Afrique,0
SANDOZ GENDRE,Manon,Etudiante,25,1.72,48,4,Asie,1
DE VERMANDOIS,Eve,Travail:temps partiel,25,1.75,56,4,Amerique,1
DE ROHAN,Angelique,Travail:temps partiel,25,1.6,73,2,La France,0
DE HALLUIN,Zelie,Travail:temps partiel,22,1.78,56,3,Europe (autre que la France),1
DE COLOGNE,AngEle,Etudiante,25,1.69,64,3,Amerique,1
DE PROVENCE,Ambre,Travail:temps plein,25,1.84,70,2,Asie,0
DE GASCOGNE,Olivia,Travail:temps plein,26,1.81,67,4,Europe (autre que la France),0
DE LUXEMBOURG,Romane,Travail:temps partiel,25,1.73,60,3,Asie,1
D ANGOULEME,Bertille,Travail:temps partiel,23,1.96,69,4,Afrique,0
GAUDREAULT,Jeanne,Travail:temps partiel,27,1.79,74,4,Afrique,0
DE HALLUIN,Evangeline,Travail:temps partiel,26,1.64,49,3,La France,1
DE PROVENCE,Gabrielle,Etudiante,27,1.81,57,3,Afrique,1
DE CASTILLE,Solenn,Travail:temps plein,26,1.57,58,3,Amerique,0
DE TOXANDRIE,Emma,Travail:temps partiel,27,1.73,51,2,Europe (autre que la France),0
DE LOMBARDIE,Athenais,Travail:temps plein,24,1.72,56,1,Afrique,0
DE CHAMPAGNE,Laetitia,Etudiante,25,1.69,47,3,Afrique,1
SANDOZ GENDRE,Olivia,Etudiante,27,1.52,51,3,La France,0
DE TOULOUSE,Aglae,Travail:temps plein,23,1.56,60,3,Amerique,0
DE COURTENAY,Blanche,Travail:temps partiel,26,1.58,57,3,La France,0
SNIVELY,Artemis,Travail:temps partiel,24,1.59,54,3,La France,0
SNAVELY,Leonie,Travail:temps partiel,22,1.93,62,1,Asie,0
DE MONTMORENCY,Marilou,Travail:temps partiel,24,1.94,72,3,Amerique,0
D ANGOULEME,Emmanuelle,Travail:temps partiel,26,1.53,62,1,Amerique,0
BOULIANNE,Gwenaelle,Travail:temps plein,22,1.52,55,1,Amerique,0
DE MONTCLAR,Romane,Etudiante,22,1.77,52,2,Asie,0
D ALeMANIE,Lucile,Travail:temps plein,24,1.6,57,2,Afrique,0
D AUSTRASIE,Victoria,Travail:temps plein,22,1.64,71,3,Afrique,0
D ANGLETERRE,Victoire,Travail:temps partiel,26,1.82,58,1,La France,0
D AUSTRASIE,Eliane,Travail:temps plein,27,1.84,72,2,Amerique,0
CAROLINGIEN,Violette,Etudiante,27,1.89,73,1,Europe (autre que la France),0
BUJOLD,Iris,Etudiante,27,1.86,59,3,Asie,1
DE FRANCIE,Nathalie,Travail:temps partiel,24,1.73,47,3,Europe (autre que la France),1
DE MONTCLAR,Alix,Etudiante,26,1.82,73,3,Amerique,0
SANDOZ GENDRE,Ambrine,Etudiante,25,1.8,64,1,Amerique,0
SCHNEBLI,Angeline,Travail:temps plein,22,1.8,55,3,Asie,0
WUETRICH,Clemence,Etudiante,26,1.99,46,4,Europe (autre que la France),0
CAROLINGIEN,Colette,Etudiante,25,1.58,69,3,Amerique,0
WUETRICH,Lea,Travail:temps partiel,24,1.7,45,2,Europe (autre que la France),0
DE SAXE,Laetitia,Travail:temps plein,23,1.76,65,1,Asie,0
BOULIANNE,Solenn,Travail:temps partiel,24,1.85,54,2,Afrique,0
DE BURGONDIE,Tatiana,Etudiante,25,1.92,55,3,Asie,0
GOBEIL,Lucile,Etudiante,23,1.56,67,2,Amerique,0
MALTAIS,Athenais,Travail:temps plein,27,1.89,45,1,Europe (autre que la France),0
DE TOXANDRIE,Evangeline,Travail:temps partiel,24,1.68,51,1,Asie,0
DE THURINGE,InEs,Travail:temps partiel,25,1.6,46,2,Europe (autre que la France),0
SNIVELY,Flavie,Travail:temps partiel,26,1.66,62,1,Europe (autre que la France),0
WUETRICH,Marilou,Etudiante,27,1.51,47,3,Amerique,0
D ANGLETERRE,Eve,Travail:temps plein,25,1.84,68,1,Europe (autre que la France),0
BOULIANNE,Clarisse,Travail:temps plein,24,1.62,67,2,Amerique,0
DE NAVARRE,Solenn,Travail:temps plein,26,1.87,50,2,Amerique,0
DE MONTCLAR,Apolline,Travail:temps plein,24,1.97,69,2,La France,0
DE COURTENAY,Camille,Etudiante,24,1.75,48,1,Afrique,0
DE GASCOGNE,Stephanie,Travail:temps plein,22,1.97,64,1,Europe (autre que la France),0
DE MONTMORENCY,Claire,Travail:temps partiel,27,1.82,66,4,Asie,1
DE BAVIERE,Zelie,Travail:temps plein,27,1.52,61,2,Amerique,0
DE TOULOUSE,Auxane,Etudiante,27,1.9,74,2,Amerique,0
D ALeMANIE,Colette,Etudiante,26,1.85,55,3,Asie,1
DE VERMANDOIS,Amelie,Travail:temps plein,25,1.96,52,1,Europe (autre que la France),0
LACHARITe,Sibylle,Etudiante,23,1.9,72,3,Amerique,0
DE COURTENAY,Margaux,Travail:temps plein,23,1.71,62,4,Afrique,0
DE TOXANDRIE,Lucie,Travail:temps partiel,22,1.99,64,3,Europe (autre que la France),0
DE MONTCLAR,Claire,Travail:temps plein,25,1.53,46,3,Asie,0
D AQUITAINE,Athenais,Etudiante,26,1.77,55,3,Asie,1
DE SAXE,Marianne,Travail:temps partiel,24,1.75,63,1,Afrique,0
MALTAIS,Abigail,Travail:temps partiel,24,1.91,67,1,Asie,0
SCHNEBLI,Lauriane,Travail:temps partiel,22,1.62,57,2,Afrique,0
DE HALLEWIN,Tiphaine,Etudiante,23,1.81,74,1,Asie,0
DE ROHAN,Flore,Travail:temps plein,25,1.5,59,2,Asie,0
D ALeMANIE,Cyrielle,Travail:temps partiel,26,1.98,49,2,Europe (autre que la France),0
SNAVELY,Adelaide,Etudiante,26,1.82,48,1,Amerique,0
DE VERMANDOIS,Leonie,Travail:temps plein,22,1.86,68,1,Afrique,0
SNIVELY,Suzon,Travail:temps plein,27,1.92,46,3,Afrique,0
DE THURINGE,Cyrielle,Travail:temps plein,27,1.73,52,3,Asie,0
DE PROVENCE,Marion,Travail:temps plein,27,1.9,70,3,La France,0
DE FRANCIE,Hermione,Travail:temps partiel,25,1.93,53,1,Afrique,0
SCHNEBLI,Albane,Etudiante,27,1.72,46,2,Amerique,0
DE TOULOUSE,Armance,Etudiante,25,1.64,50,3,Europe (autre que la France),1
SNIVELY,Penelope,Travail:temps plein,22,1.52,71,3,La France,0
